Power(watts),Distance(metres),Heartrate(BPM),Speed(m/s),WindSpeed (m/s),Cadaence(revs/s),Elevation(meters),Hill slope(%),Temperature(C),Cluster
162.2,1078.3,102,6.9738,8.449,1.3667,48.158,-0.79,25.556,C
151.18,1094.4,102,6.9291,7.9573,1.3667,48.158,-0.6,25.556,C
143.08,1094.4,102,6.9291,8.9855,1.35,48.158,-0.3,25.556,C
134.01,1110.4,101,6.8844,9.2984,1.35,48.158,-0.4,25.556,C
132.91,1110.4,100,6.8844,8.1361,1.3333,48.158,-0.4,25.556,C
134.87,1110.4,99,6.8397,8.7173,1.3333,48.158,-0.4,25.556,C
134.9,1126.5,98,6.7503,8.3149,1.3167,48.158,-0.31,25.556,C
128.73,1126.5,98,6.7503,8.6279,1.3167,48.158,-0.41,26.111,C
133.49,1142.6,98,6.8397,8.002,1.3333,48.158,-0.71,26.111,C
130.25,1142.6,97,6.9291,7.4208,1.35,48.158,-0.81,26.111,C
119.14,1158.7,97,6.9291,7.3314,1.35,48.158,-1.02,26.111,C
92.1,1158.7,96,6.8844,7.4655,0.86667,48.158,-0.92,26.111,C
0,1158.7,96,6.7056,7.6891,0.2,48.158,-0.52,26.111,C
0,1174.8,95,6.4374,7.4208,0,48.158,-0.62,26.111,C
0,1174.8,95,5.9903,7.0185,0,48.158,-0.43,26.111,C
0,1190.9,93,5.6327,6.8397,0,48.158,-0.43,26.111,C
0,1190.9,93,5.5433,6.795,0,48.158,-0.93,26.111,C
0,1190.9,93,5.5433,8.1808,0,48.158,-1.53,26.111,C
29.47,1207,100,5.6327,9.2537,0.96667,48.158,-1.83,26.111,C
69.99,1207,100,5.8562,7.3314,1.15,48.158,-2.44,26.111,C
124.49,1207,100,6.0797,4.9621,1.1833,48.158,-2.34,26.111,C
152.45,1223.1,100,6.0797,5.8115,1.1833,48.158,-1.24,26.111,C
148.42,1223.1,100,6.035,6.3032,1.1833,48.158,-0.54,26.111,C
147.39,1223.1,98,5.9903,6.3927,1.1667,48.158,0.66,26.111,C
152.29,1239.2,98,5.9903,5.2304,1.1667,48.158,1.35,26.111,C
156.1,1239.2,98,6.035,4.6939,1.1833,48.158,1.45,26.111,C
164,1255.3,97,6.035,4.6939,1.1833,48.768,1.85,26.111,C
167.9,1255.3,97,6.035,3.8892,1.1833,48.768,2.25,26.111,C
162.8,1255.3,96,6.035,5.3645,1.1667,48.768,2.24,26.111,C
158.95,1271.4,96,5.9456,5.6774,1.1667,48.768,2.74,26.111,C
157.94,1271.4,96,5.9009,5.588,1.15,49.378,2.74,26.111,C
161.02,1271.4,96,5.8115,6.0797,1.1333,49.378,2.64,26.111,C
176.03,1287.5,97,5.7668,5.2304,1.1333,49.378,3.14,26.111,C
185.13,1287.5,97,5.6774,6.348,1.1167,49.378,3.14,26.111,C
203.04,1303.6,97,5.7221,5.8562,1.1167,49.378,3.34,26.111,C
213.96,1303.6,98,5.7221,6.0797,1.1167,49.378,3.43,26.111,C
221.81,1303.6,99,5.7668,5.7221,1.1167,49.378,3.53,26.111,C
231.74,1319.7,99,5.7668,5.0962,1.1333,49.378,3.63,26.111,C
228.59,1319.7,100,5.8115,4.6939,1.1333,51.206,3.63,26.111,C
233.62,1319.7,101,5.7668,4.4257,1.1333,51.206,4.03,26.111,C
230.62,1335.8,102,5.7668,5.0515,1.1333,51.206,3.93,26.111,C
224.47,1335.8,104,5.8115,5.3645,1.1333,51.206,3.73,26.111,C
201.68,1335.8,105,5.6774,5.2304,1.1667,51.511,3.92,25.556,C
214.63,1351.8,106,5.6774,4.7833,1.1833,51.511,3.72,25.556,C
228.38,1351.8,107,5.7668,4.6492,1.2,51.511,3.82,25.556,C
235.31,1351.8,109,5.8115,4.6492,1.2,51.511,4.02,26.111,C
239.08,1367.9,109,5.9009,5.2751,1.2167,52.121,3.82,26.111,C
242.95,1367.9,110,5.9456,5.4986,1.2333,52.121,3.82,26.111,C
247.91,1384,111,5.9456,5.1409,1.2333,52.121,3.82,26.111,C
242.87,1384,112,5.9456,4.828,1.2333,52.121,3.82,25.556,C
233.84,1384,113,5.9456,5.2304,1.2333,53.035,3.92,25.556,C
227.9,1400.1,113,5.9009,4.7833,1.2333,53.035,3.82,25.556,C
221.87,1400.1,113,5.9009,4.8727,1.2333,53.035,3.72,25.556,C
218.9,1400.1,114,5.9009,5.4539,1.2333,53.035,3.72,25.556,C
213.88,1416.2,114,5.9009,6.035,1.2333,54.254,3.52,25.556,C
215.86,1416.2,114,5.9009,7.0632,1.2333,54.254,3.52,25.556,C
216.94,1432.3,114,5.8562,8.1361,1.2167,54.254,3.62,25.556,C
222.01,1432.3,114,5.8115,7.7785,1.2167,54.254,3.32,25.556,C
229.92,1432.3,114,5.8562,6.9291,1.2167,55.169,3.31,25.556,C
238.01,1448.4,115,5.8115,6.7503,1.2167,55.169,3.42,25.556,C
242.05,1448.4,116,5.8115,5.7668,1.2,55.169,3.12,25.556,C
243.97,1448.4,116,5.8562,4.5598,1.2167,55.169,3.22,25.556,C
236.8,1464.5,117,5.9456,4.2469,1.2333,55.778,3.22,25.556,C
228.83,1464.5,117,5.9456,5.9903,1.2333,55.778,3.12,25.556,C
219.87,1464.5,117,5.9456,7.3314,1.2333,55.778,3.12,25.556,C
217.01,1480.6,117,5.9009,7.6444,1.2333,55.778,3.32,25.556,C
227.16,1480.6,118,5.8562,5.9456,1.2167,55.778,3.52,25.556,C
235.13,1496.7,118,5.9009,6.9291,1.2167,55.778,3.52,25.556,C
235.28,1496.7,118,5.8562,7.1079,1.2167,55.778,3.52,25.556,C
238.36,1496.7,118,5.8562,6.8844,1.2167,55.778,3.53,25.556,C
246.28,1512.8,119,5.9456,5.8115,1.2333,56.693,3.23,25.556,C
244.29,1512.8,119,5.9903,4.4704,1.25,56.693,3.13,25.556,C
228.32,1512.8,119,6.035,3.6657,1.25,56.693,3.13,25.556,C
215.54,1528.9,119,5.9903,1.9223,1.25,56.693,3.14,25.556,C
209.83,1528.9,119,5.9009,4.2469,1.2333,56.693,3.64,25.556,C
200.07,1528.9,119,5.8562,5.9456,1.2167,56.693,3.64,25.556,C
202.32,1545,119,5.8115,5.2304,1.2167,56.693,3.95,25.556,C
208.57,1545,119,5.7668,5.4092,1.2,56.693,4.05,25.556,C
221.65,1561.1,118,5.8115,4.3363,1.2167,57.302,3.55,25.556,C
228.68,1561.1,118,5.9009,4.7386,1.2333,57.302,3.56,25.556,C
227.78,1561.1,118,5.9456,6.6609,1.2333,57.302,3.36,25.556,C
227.92,1577.2,118,5.9456,6.7503,1.2333,57.302,3.37,25.556,C
223.11,1577.2,119,5.9456,5.6774,1.2333,58.217,3.57,25.556,C
234.25,1577.2,118,5.9009,3.7998,1.2167,58.217,3.77,25.556,C
239.51,1593.2,119,5.9009,4.2916,1.2333,58.217,3.88,25.556,C
232.64,1593.2,118,5.9456,5.4092,1.2333,58.217,3.78,25.556,C
232.84,1609.3,119,5.9456,5.4092,1.2333,58.826,3.79,25.556,C
235.04,1609.3,119,5.9456,5.6327,1.2333,58.826,3.69,25.556,C
238.24,1609.3,119,5.9456,4.4257,1.2333,58.826,3.8,25.556,C
239.44,1625.4,119,5.9456,4.3363,1.25,58.826,3.9,25.556,C
242.37,1625.4,119,6.035,3.7551,1.25,60.046,3.9,25.556,C
233.57,1625.4,118,6.035,3.621,1.25,60.046,3.81,25.556,C
223.76,1641.5,119,6.035,3.7998,1.25,60.046,3.81,25.556,C
214,1641.5,119,5.9903,4.2916,1.25,60.046,3.82,25.556,C
216.18,1641.5,119,5.9903,3.7551,1.25,60.655,3.72,25.556,C
215.22,1657.6,119,5.9903,4.1575,1.25,60.655,3.82,25.556,C
211.39,1657.6,119,5.9903,5.4092,1.25,60.655,3.62,25.556,C
214.48,1673.7,120,6.035,4.381,1.25,60.655,3.53,25.556,C
224.57,1673.7,120,6.0797,3.6657,1.2667,62.484,3.63,25.556,C
224.7,1673.7,121,6.0797,4.2022,1.2667,62.484,3.43,25.556,C
216.67,1689.8,121,6.1244,4.9174,1.2833,62.484,3.23,25.556,C
212.69,1689.8,121,6.2138,4.6492,1.2833,62.484,3.14,25.556,C
199.8,1705.9,122,6.2138,4.4257,1.3,63.703,2.74,25.556,C
200.87,1705.9,122,6.2585,4.7833,1.3,63.703,2.64,25.556,C
201.87,1705.9,122,6.2585,5.4092,1.3,63.703,2.64,25.556,C
199.98,1722,122,6.2585,6.035,1.3,63.703,2.85,25.556,C
198.13,1722,123,6.2138,5.1409,1.2833,65.227,3.05,25,C
203.32,1722,123,6.1244,5.0515,1.2667,65.227,3.45,25,C
209.42,1738.1,123,6.035,5.4986,1.25,65.227,3.75,25,C
219.57,1738.1,123,5.9903,4.9174,1.25,65.227,4.05,25,C
221.71,1754.2,124,5.9456,4.8727,1.2333,65.227,4.05,25,C
226.66,1754.2,124,5.9903,5.9009,1.25,65.227,3.75,25,C
233.72,1754.2,125,6.035,5.4092,1.25,65.227,3.86,25,C
239.83,1770.3,125,6.035,5.588,1.25,65.227,3.56,25,C
233.83,1770.3,125,6.035,6.5715,1.25,65.837,3.56,25,C
237,1770.3,126,5.9903,6.035,1.25,65.837,3.86,25,C
251.12,1786.4,126,5.9903,5.1857,1.25,65.837,3.86,25,C
260.26,1786.4,126,5.9903,5.4986,1.25,65.837,4.07,25,C
263.23,1802.5,126,6.035,4.828,1.25,67.361,4.07,25,C
259.34,1802.5,127,6.0797,5.6774,1.25,67.361,4.07,25,C
255.53,1802.5,126,6.035,5.9009,1.25,67.361,4.07,25,C
259.56,1818.6,126,6.035,5.1409,1.25,67.361,3.98,25,C
261.73,1818.6,127,6.035,4.381,1.25,67.666,4.18,25,C
268.87,1818.6,127,6.0797,5.0515,1.2667,67.666,3.88,25,C
270,1834.6,127,6.1691,5.4092,1.2833,67.666,3.79,25,C
267.18,1834.6,127,6.2138,5.3645,1.3,67.666,3.89,25,C
269.22,1850.7,128,6.2138,5.2304,1.3,67.97,3.99,25,C
269.46,1850.7,128,6.2138,5.0068,1.2833,67.97,4.2,25,C
265.74,1850.7,128,6.1691,4.828,1.2833,67.97,4.4,25,C
261.03,1866.8,128,6.1244,4.6939,1.2833,67.97,4.51,25,C
273.3,1866.8,128,6.1244,4.3363,1.2667,68.275,4.62,25,C
268.56,1866.8,129,6.1691,3.8445,1.2833,68.275,4.62,25,C
263.89,1882.9,129,6.1244,2.7269,1.2833,68.275,4.63,25,C
266.95,1882.9,130,6.1691,2.6822,1.2833,68.275,4.73,25,C
265.28,1899,130,6.1691,2.5928,1.2833,69.494,4.74,25,C
270.61,1899,130,6.1691,3.4422,1.2833,69.494,4.95,25,C
272.97,1899,130,6.1244,4.0681,1.2833,69.494,5.25,25,C
274.31,1915.1,131,6.1244,4.0233,1.2667,69.494,5.36,25,C
271.68,1915.1,131,6.0797,4.5151,1.2667,71.323,5.37,25,C
273.04,1931.2,131,6.035,4.0681,1.25,71.323,5.48,25,C
274.4,1931.2,131,5.9903,4.1575,1.2333,71.323,5.49,25,C
271.53,1931.2,132,5.9456,3.3081,1.2333,71.323,5.39,25,C
247.89,1947.3,132,5.8115,3.6657,1.2167,71.628,5.5,25,C
235.23,1947.3,132,5.6774,3.5763,1.1667,71.628,5.31,25,C
216.55,1947.3,132,5.5433,3.6657,1.15,71.628,5.01,25,C
206.89,1963.4,132,5.588,4.0681,1.1667,71.628,4.32,25,C
198.06,1963.4,132,5.8115,4.6045,1.2,72.847,3.13,25,C
173.44,1963.4,132,5.9903,4.9621,1.25,72.847,1.73,25,D
148.87,1979.5,132,6.2585,5.9903,1.3,72.847,0.54,25,D
138.29,1979.5,131,6.4374,6.1691,1.3333,72.847,-0.35,25,D
123.89,1995.6,131,6.6162,5.0962,1.35,73.152,-1.04,25,D
127.35,1995.6,131,6.795,5.6774,1.3333,73.152,-1.23,25,D
121.76,1995.6,130,6.8844,6.4374,1.35,73.152,-0.92,25,D
119.17,2011.7,130,6.9738,7.6891,1.3667,73.152,-0.72,25,D
123.55,2011.7,130,7.0185,6.3032,1.3667,73.152,-0.41,25,D
132.93,2027.8,130,7.0632,6.035,1.3833,73.152,-0.2,25,D
137.56,2027.8,130,7.1973,6.5268,1.4167,73.152,-0.29,25,D
139.97,2043.9,129,7.2867,6.1691,1.4333,73.152,-0.49,24.444,D
138.45,2043.9,129,7.4655,6.5268,1.4667,73.457,-0.58,24.444,D
128.9,2060,128,7.5997,6.6162,1.4667,73.457,-0.97,24.444,D
116.51,2060,128,7.6891,6.2585,1.2167,73.457,-1.07,24.444,D
119.91,2076,127,7.7785,7.555,1.1667,73.457,-0.96,24.444,D
122.31,2076,127,7.8679,7.8232,1.2,72.847,-1.25,24.444,D
132.98,2092.1,127,8.002,8.5831,1.2333,72.847,-1.15,24.444,D
147.43,2092.1,126,8.1361,7.6444,1.2333,72.847,-1.24,24.444,D
164.98,2108.2,126,8.3596,8.7173,1.2667,72.847,-1.44,24.444,D
182.56,2108.2,125,8.4043,8.2702,1.2833,72.847,-1.23,24.444,D
185.97,2124.3,124,8.4937,8.2255,1.3,72.847,-1.02,24.444,D
181.3,2124.3,123,8.5384,8.1361,1.3,72.847,-0.62,24.444,D
184.93,2140.4,123,8.6279,7.9126,1.3167,72.847,-0.81,24.444,D
200.39,2140.4,122,8.762,7.7338,1.3333,72.542,-0.61,24.444,D
204.7,2156.5,122,8.6279,7.0185,1.3167,72.542,-0.2,24.444,D
201.94,2156.5,121,8.6279,7.0185,1.3167,72.542,0.21,24.444,D
202.09,2172.6,121,8.5831,7.7338,1.3167,72.542,0.81,24.444,D
197.42,2172.6,121,8.4937,7.5997,1.3,73.152,1.12,24.444,D
195.56,2188.7,121,8.449,7.4655,1.2833,73.152,1.12,24.444,D
199.83,2188.7,121,8.3596,7.6444,1.2833,73.152,1.33,24.444,D
195.88,2204.8,120,8.2702,7.8232,1.2667,73.152,1.53,24.444,D
201.91,2204.8,120,8.1808,7.4655,1.25,74.066,1.63,24.444,D
200.02,2220.9,120,8.002,6.035,1.2667,74.066,2.04,24.444,D
